occurrence_id	run_order	seed_id	seed_phrase	provider_request_id	carrier_locator	channel	position	phrase	count	family_id	family_label	assignment_reason_code	assignment_rule	business_fit_state	ambiguity_state	notes
R004|results|0776	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	776	краткий четкий сжатый способ выражать мысли	924	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0777	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	777	четких очаговых изменений	922	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0778	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	778	близко и четко	917	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0779	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	779	четкий аппарат	917	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0780	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	780	четка играет	914	F023	Остаточные фразы с недостаточным смысловым контекстом	CURRENT_INPUT_CANNOT_RESOLVE_REFERENT	BASE_F023_RULE_RETAINED	UNRESOLVED	MATERIAL / PRESERVED	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0781	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	781	четкий учитель	912	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0782	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	782	четкая логика	912	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0783	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	783	четки в москве	911	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0784	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	784	четкий принтер	909	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0785	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	785	хочешь быть четким	907	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0786	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	786	домашнее четкое	905	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0787	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	787	песня танцую четко	904	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0788	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	788	четкие работники	903	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0789	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	789	здесь четко	900	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0790	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	790	озон четки	900	F002	Общие товарные слова с явным коммерческим модификатором	CLIENT_PRODUCT_TERM_PLUS_COMMERCIAL_MODIFIER	BASE_F002_RULE_RETAINED	DIRECT_CLIENT_BUSINESS_WORDING	LOW: product class is supported; exact intent/page remains undecided	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0791	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	791	татуировка четки	898	F010	Информационная/визуальная зонтичная семья: значения, история, мифология, руны и тату/body-art	PRELIMINARY_INFORMATION_VISUAL_RUNE_BODY_ART_UMBRELLA	BASE_F010_RULE_RETAINED	NAME_SUPPORT_ONLY; MEANING_AND_TATTOO_NOT_STATED	MATERIAL / PRESERVED	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0792	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	792	татуировки четок	898	F010	Информационная/визуальная зонтичная семья: значения, история, мифология, руны и тату/body-art	PRELIMINARY_INFORMATION_VISUAL_RUNE_BODY_ART_UMBRELLA	BASE_F010_RULE_RETAINED	NAME_SUPPORT_ONLY; MEANING_AND_TATTOO_NOT_STATED	MATERIAL / PRESERVED	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0793	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	793	четки из хлеба	898	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0794	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	794	четки 12 мм	894	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0795	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	795	круто четко	894	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0796	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	796	более четкое фото	892	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0797	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	797	четкая официальный	885	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0798	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	798	контакты четок	885	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0799	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	799	четки контакт	885	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0800	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	800	придумаем четкий	883	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0801	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	801	четкая луна	883	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0802	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	802	заебись четко	880	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0803	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	803	аваскулярное образование с ровными четкими контурами	879	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0804	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	804	четко полностью	879	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0805	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	805	четки из формы	876	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0806	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	806	четко выстроена	876	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0807	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	807	настоящие четки	875	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0808	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	808	коллега четки	875	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0809	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	809	четки инструмент	873	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0810	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	810	четко и разборчиво 20	870	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0811	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	811	четки фигура	869	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0812	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	812	четкий контраст	868	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0813	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	813	контуры четкие ровные щитовидной железы	867	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0814	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	814	четки женские	866	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0815	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	815	четки на шею	866	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0816	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	816	ну четко	866	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0817	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	817	дать четкое представление	865	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0818	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	818	четки статус	862	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0819	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	819	четки на дверь	860	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0820	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	820	четкий плотный	858	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0821	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	821	четки синие	856	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0822	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	822	ельцин твердо и четко	856	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0823	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	823	без четкого кровотока	855	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0824	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	824	четкое качество фото	854	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0825	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	825	четкие статусы	853	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0826	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	826	четки ручной работы	849	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0827	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	827	четким сюжетом	848	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0828	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	828	вообще четки	847	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0829	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	829	у меня есть четкий план текст	846	F014	Морфологический и лексический шум	EXPLICIT_NON_PRODUCT_MORPHOLOGY	BASE_F014_RULE_RETAINED	NO_PRODUCT_REFERENT_IN_OBSERVED_CONTEXT	LOW	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0830	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	830	желтые четки	846	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
R004|results|0831	4	S004	чётки	wordstat-5f8ca245-591e-4eba-afa4-03d32a86a4cd	STEP_03_WORDSTAT_RAW/REQUERY_COMPRESSED/README_RECONSTRUCTION_2026-09-09.md#R003	results	831	четки жопы	845	F004	Чётки как предмет	ROSARY_NOUN_WITH_EXPLICIT_CATALOG_SUPPORT	BASE_F004_RULE_RETAINED	DIRECT_CLIENT_TITLE_SUPPORT	MATERIAL: noun/adjective separation still needs row review	assignment_retained_after_full_corpus_rule_rerun=true
